"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=equus"
"Access Time","Thu 2017-02-02 21:29:11 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0472"
"Records Found","1631"
"Records Returned","1631"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"194782","occ","8905","","19967","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","6294"
"194788","occ","","","19968","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","3378"
"194789","occ","","","19968","Equus cf. cumminsii","species","46264","subjective synonym of","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","3378"
"194790","occ","","","19968","Equus cf. scotti","species","46305","","Equus scotti","species","46305","Blancan","","4.9","1.8","3378"
"194796","occ","","","19970","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","3378"
"194810","occ","","","19972","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","Irvingtonian","4.9","0.3","1794"
"194816","occ","","","19973","Equus cf. scotti","species","46305","","Equus scotti","species","46305","Blancan","","4.9","1.8","3378"
"194817","occ","","","19973","Equus cf. calobatus","species","46260","subjective synonym of","Equus francisci","species","46270","Blancan","","4.9","1.8","3378"
"194822","occ","","","19974","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2304"
"194826","occ","","","19975","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","3378"
"194830","occ","","","19976","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","1363"
"194832","occ","","","19978","Equus scotti","species","46305","","Equus scotti","species","46305","Blancan","","4.9","1.8","3378"
"194833","occ","","","19978","Equus calobatus","species","46260","subjective synonym of","Equus francisci","species","46270","Blancan","","4.9","1.8","3378"
"194834","occ","8922","","19979","Equus cf. cumminsii","species","46264","subjective synonym of","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2320"
"194836","occ","","","19980","Equus cf. scotti","species","46305","","Equus scotti","species","46305","Blancan","","4.9","1.8","2320"
"194841","occ","","","19981","Equus (Dolichohippus) simplicidens","species","104795","","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2618"
"194842","occ","","","19981","Equus scotti","species","46305","","Equus scotti","species","46305","Blancan","","4.9","1.8","2618"
"194855","occ","8927","","19982","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"194861","occ","","","19984","Equus calobatus","species","46260","subjective synonym of","Equus francisci","species","46270","Blancan","","4.9","1.8","2616"
"194866","occ","","","19987","Equus scotti","species","46305","","Equus scotti","species","46305","Blancan","","4.9","1.8","2616"
"194868","occ","","","19989","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2062"
"194869","occ","","","19990","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2062"
"194870","occ","8930","","19991","Equus cf. idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","2066"
"194871","occ","8931","","19992","Equus cf. idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","2066"
"194872","occ","","","19993","Equus giganteus","species","46273","","Equus giganteus","species","46273","Blancan","","4.9","1.8","2062"
"194875","occ","8932","","19995","Equus cf. idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","2066"
"194876","occ","","","19996","Equus giganteus","species","46273","","Equus giganteus","species","46273","Blancan","","4.9","1.8","2062"
"194877","occ","8933","","19997","Equus cf. idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","2066"
"194886","occ","","","20000","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2062"
"194889","occ","","","20003","Equus giganteus","species","46273","","Equus giganteus","species","46273","Blancan","","4.9","1.8","2062"
"194891","occ","8935","","20005","Equus cf. idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","2066"
"194892","occ","","","20005","Equus giganteus","species","46273","","Equus giganteus","species","46273","Blancan","","4.9","1.8","2062"
"194894","occ","","","20006","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2062"
"194900","occ","","","20008","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2062"
"194909","occ","","","20010","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Irvingtonian","","1.8","0.3","2066"
"194910","occ","","","20010","Equus (Dolichohippus ?) sp.","subgenus","104784","","Equus (Dolichohippus)","subgenus","45877","Irvingtonian","","1.8","0.3","2066"
"194912","occ","","","20011","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Irvingtonian","","1.8","0.3","2066"
"194917","occ","","","20012","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Irvingtonian","","1.8","0.3","2066"
"194918","occ","","","20012","Equus (Dolichohippus ?) sp.","subgenus","104784","","Equus (Dolichohippus)","subgenus","45877","Irvingtonian","","1.8","0.3","2066"
"194919","occ","","","20012","Equus cf. giganteus","species","46273","","Equus giganteus","species","46273","Irvingtonian","","1.8","0.3","2066"
"194925","occ","","","20014","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Irvingtonian","","1.8","0.3","2066"
"194926","occ","","","20014","Equus (Dolichohippus ?) sp.","subgenus","104784","","Equus (Dolichohippus)","subgenus","45877","Irvingtonian","","1.8","0.3","2066"
"194928","occ","","","20015","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Irvingtonian","","1.8","0.3","2066"
"194929","occ","","","20016","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Irvingtonian","","1.8","0.3","2066"
"194948","occ","","","20019","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","2448"
"194956","occ","","","20020","Equus cf. giganteus","species","46273","","Equus giganteus","species","46273","Blancan","Irvingtonian","4.9","0.3","2780"
